 model_row            width        mean_elev            maxWT         mean_rch       max_WT_loc   west_index   east_index
        14         300.0000           0.2000           0.2812           0.2468         100.0000          159          164
        15         350.0000           0.9083           0.3383           0.3012         100.0000          158          164
        16         650.0000           1.9387           0.3655           0.3442         100.0000          152          164
        17         600.0000           2.0357           0.3852           0.3626         100.0000          152          163
        18         600.0000           1.5869           0.4119           0.3789         100.0000          152          163
        19         600.0000           1.4704           0.4307           0.3913         100.0000          152          163
        20         650.0000           1.1967           0.4311           0.3929         100.0000          151          163
        21         600.0000           1.2613           0.4292           0.3931         100.0000          151          162
        22         600.0000           1.2666           0.4396           0.3968         100.0000          151          162
        23         600.0000           1.4349           0.4450           0.4026         150.0000          151          162
        24         600.0000           1.3355           0.4526           0.4079         150.0000          151          162
        25         650.0000           1.1935           0.4580           0.4123         200.0000          151          163
        26         650.0000           1.1523           0.4621           0.4229         200.0000          151          163
        27         650.0000           1.2172           0.4664           0.4293         200.0000          151          163
        28         650.0000           1.1928           0.4680           0.4323         200.0000          151          163
        29         600.0000           1.3746           0.4684           0.4358         150.0000          151          162
        30         600.0000           1.3492           0.4698           0.4432         200.0000          151          162
        31         650.0000           1.2507           0.4701           0.4336         200.0000          150          162
        32         650.0000           1.3119           0.4683           0.4359         200.0000          150          162
        33         650.0000           1.2087           0.4664           0.4236         200.0000          149          161
        34         650.0000           1.2269           0.4638           0.4229         200.0000          149          161
        35         700.0000           1.1542           0.4605           0.4114         200.0000          148          161
        36         650.0000           1.2286           0.4573           0.4156         200.0000          149          161
        37         600.0000           1.3335           0.4546           0.4201         200.0000          150          161
        38         550.0000           1.4740           0.4520           0.4223         200.0000          151          161
        39         500.0000           1.5373           0.4497           0.4227         200.0000          152          161
        40         500.0000           1.6260           0.4474           0.4141         200.0000          152          161
        41         500.0000           1.5215           0.4456           0.4147         200.0000          152          161
        42         450.0000           1.5338           0.4432           0.4152         200.0000          153          161
        43         400.0000           1.6459           0.4409           0.4111         150.0000          153          160
        44         400.0000           1.8446           0.4398           0.4127         150.0000          153          160
        45         450.0000           1.4968           0.4448           0.4117         150.0000          153          161
        46         450.0000           1.4785           0.4455           0.4163         150.0000          153          161
        47         450.0000           1.4948           0.4480           0.4186         150.0000          153          161
        48         500.0000           1.5408           0.4516           0.4190         150.0000          152          161
        49         550.0000           1.4212           0.4549           0.4206         150.0000          151          161
        50         600.0000           1.6627           0.4568           0.4202         150.0000          150          161
        51         650.0000           1.7272           0.4575           0.4160         150.0000          149          161
        52         650.0000           1.4513           0.4574           0.4190         150.0000          149          161
        53         650.0000           1.2847           0.4567           0.4180         150.0000          149          161
        54         650.0000           1.2021           0.4560           0.4168         150.0000          149          161
        55         650.0000           1.2061           0.4553           0.4175         150.0000          149          161
        56         650.0000           1.1046           0.4548           0.4134         150.0000          149          161
        57         600.0000           1.3078           0.4542           0.4185         150.0000          150          161
        58         500.0000           1.5342           0.4527           0.4293         150.0000          152          161
        59         500.0000           1.3971           0.4537           0.4245         150.0000          152          161
        60         550.0000           1.2727           0.4570           0.4267         200.0000          152          162
        61         600.0000           1.1994           0.4601           0.4241         200.0000          151          162
        62         600.0000           1.0785           0.4630           0.4290         200.0000          151          162
        63         600.0000           1.2721           0.4655           0.4234         200.0000          151          162
        64         600.0000           1.2319           0.4666           0.4210         200.0000          151          162
        65         600.0000           1.0864           0.4676           0.4194         200.0000          151          162
        66         650.0000           0.8575           0.4685           0.4186         200.0000          151          163
        67         650.0000           0.8910           0.4685           0.4148         200.0000          151          163
        68         500.0000           1.1498           0.4678           0.4420         200.0000          154          163
        69         450.0000           1.5223           0.4649           0.4443         200.0000          155          163
        70         450.0000           1.2627           0.4627           0.4407         150.0000          155          163
        71         450.0000           1.7386           0.4595           0.4365         150.0000          155          163
        72         450.0000           1.8201           0.4551           0.4312         150.0000          155          163
        73         450.0000           1.2861           0.4514           0.4205         150.0000          155          163
        74         450.0000           1.5312           0.4524           0.4284         150.0000          156          164
        75         400.0000           1.2804           0.4549           0.4341         150.0000          157          164
        76         400.0000           1.3848           0.4560           0.4370         150.0000          157          164
        77         450.0000           1.4223           0.4566           0.4325         150.0000          156          164
        78         450.0000           1.4515           0.4579           0.4393         150.0000          156          164
        79         450.0000           1.4746           0.4606           0.4462         150.0000          156          164
        80         550.0000           1.2874           0.4637           0.4420         200.0000          155          165
        81         550.0000           1.1090           0.4654           0.4399         200.0000          155          165
        82         550.0000           1.0307           0.4660           0.4388         200.0000          155          165
        83         550.0000           1.1023           0.4651           0.4370         200.0000          155          165
        84         550.0000           1.1286           0.4638           0.4344         200.0000          155          165
        85         550.0000           1.1753           0.4633           0.4351         200.0000          156          166
        86         500.0000           1.1686           0.4614           0.4344         200.0000          157          166
        87         450.0000           1.1459           0.4588           0.4362         150.0000          158          166
        88         450.0000           0.9708           0.4564           0.4284         150.0000          158          166
        89         450.0000           1.0602           0.4538           0.4302         200.0000          159          167
        90         400.0000           1.0935           0.4532           0.4347         150.0000          160          167
        91         400.0000           1.1788           0.4503           0.4303         150.0000          160          167
        92         400.0000           1.3625           0.4463           0.4256         150.0000          160          167
        93         450.0000           1.2034           0.4413           0.4115         150.0000          159          167
        94         550.0000           1.2132           0.4394           0.3976         150.0000          158          168
