Name,X,Y,Target,Layer,row,column,Weight,Group,Layer2,Min_K,Max_K,Component,Type,Layer_Elevation
KM03A-S,490421.929629,4239256.230612,0.860000,3,72,160,1.000000,1,0,0.000000,0.000000,1,Head,-3.875000
KM03B-S,490376.898271,4239281.918367,0.730000,3,72,159,1.000000,1,0,0.000000,0.000000,1,Head,-3.875000
KM09B-S,488360.532411,4233313.813792,0.620000,3,196,180,1.000000,1,0,0.000000,0.000000,1,Head,-3.875000
KM09C-S,488291.903338,4233343.259932,0.340000,3,196,178,1.000000,1,0,0.000000,0.000000,1,Head,-3.875000
KM14A-S,486408.767469,4227881.586668,0.880000,3,311,196,1.000000,1,0,0.000000,0.000000,1,Head,-3.875000
KM14B-D,486158.326478,4227928.242805,0.620000,7,312,191,1.000000,1,0,0.000000,0.000000,1,Head,-13.500000
KM14B-S,486160.595653,4227927.036263,0.680000,3,312,191,1.000000,1,0,0.000000,0.000000,1,Head,-3.875000
KM23A-S,484023.779019,4219743.011057,0.930000,3,477,230,1.000000,1,0,0.000000,0.000000,1,Head,-3.875000
KM23B-S,483826.513450,4219715.671468,0.570000,3,479,227,1.000000,1,0,0.000000,0.000000,1,Head,-3.875000
KM23C-D,483653.029159,4219734.762002,0.350000,7,480,224,1.000000,1,0,0.000000,0.000000,1,Head,-13.500000
KM23C-S,483658.583312,4219746.826685,0.390000,3,480,224,1.000000,1,0,0.000000,0.000000,1,Head,-3.875000
KM23D-S,483595.441136,4219827.084513,0.300000,3,479,222,1.000000,1,0,0.000000,0.000000,1,Head,-3.875000
KM28A-D,481880.471815,4215010.353931,0.770000,7,580,237,1.000000,1,0,0.000000,0.000000,1,Head,-13.500000
KM28A-S,481878.032762,4215007.279078,0.610000,3,580,237,1.000000,1,0,0.000000,0.000000,1,Head,-3.875000
KM28B-S,481133.816712,4215466.319088,0.440000,3,579,220,1.000000,1,0,0.000000,0.000000,1,Head,-3.875000
,490753.805899,4240439.453192,0.000000,1,48,155,1.000000,1,0,0.000000,0.000000,1,Head,0.157715
,490802.293209,4240417.432164,0.000000,1,48,156,1.000000,1,0,0.000000,0.000000,1,Head,0.624655
,490842.181288,4240393.403197,0.000000,1,48,157,1.000000,1,0,0.000000,0.000000,1,Head,0.946438
,490887.889797,4240364.388060,0.000000,1,48,158,1.000000,1,0,0.000000,0.000000,1,Head,0.508827
,490934.229739,4240345.400201,0.000000,1,48,159,1.000000,1,0,0.000000,0.000000,1,Head,0.578947
,490974.210770,4240325.081942,0.000000,1,48,160,1.000000,1,0,0.000000,0.000000,1,Head,0.534757
,491014.446169,4240299.916943,0.000000,1,48,161,1.000000,1,0,0.000000,0.000000,1,Head,0.130373
